Date,ETD,Voyage ID,Skipper,Arrival,Revenue,Profit,Loss,Crew
01-11-2022,14:06,1,jormguh,Sint Eustatius,22.975ƒ,22.975ƒ,0ƒ,"jormguh, kni0002"
02-11-2022,13:23,2,joppiesaus_nl,Saba,4.802ƒ,4.802ƒ,0ƒ,ukraine_forLive
02-11-2022,13:52,3,joppiesaus_nl,Sint Eustatius,24.321ƒ,24.321ƒ,0ƒ,"joppiesaus_nl, ukraine_forLive"
02-11-2022,14:30,4,Thunder_Sanctus,Sint Eustatius,6.763ƒ,6.763ƒ,0ƒ,wisleh
02-11-2022,15:28,5,Thunder_Sanctus,Sint Eustatius,5.753ƒ,5.753ƒ,0ƒ,ikbenhetsmientie
02-11-2022,16:36,6,Thunder_Sanctus,Sint Eustatius,7.238ƒ,7.238ƒ,0ƒ,omglologamer
02-11-2022,17:25,7,joppiesaus_nl,Sint Eustatius,6.533ƒ,6.533ƒ,0ƒ,DarkFader100
02-11-2022,17:30,8,Thunder_Sanctus,Sint Eustatius,5.878ƒ,5.878ƒ,0ƒ,caccolino2018
02-11-2022,18:54,9,joppiesaus_nl,Sint Eustatius,4.880ƒ,4.880ƒ,0ƒ,austinwrighthd
02-11-2022,19:27,10,joppiesaus_nl,Sint Eustatius,5.678ƒ,5.678ƒ,0ƒ,brammieboy1612
02-11-2022,20:17,11,Capprilex,Sint Eustatius,5.485ƒ,5.485ƒ,0ƒ,pilotMikhaelB
02-11-2022,21:05,12,joppiesaus_nl,Sint Eustatius,5.441ƒ,5.441ƒ,0ƒ,CertifiedSaraa
02-11-2022,23:26,13,Thunder_Sanctus,Sint Eustatius,29.200ƒ,27.400ƒ,0ƒ,"Uinsink, Thunder_Sanctus"
03-11-2022,12:08,14,Thunder_Sanctus,Sint Eustatius,24.254ƒ,24.254ƒ,0ƒ,"Thunder_Sanctus, just_hein1203"
03-11-2022,14:26,15,SupremeBigBrother,Sint Eustatius,5.493ƒ,5.493ƒ,0ƒ,"SupremeBigBrother, piper221"
03-11-2022,18:24,16,Capprilex,Saba,6.179ƒ,5.729ƒ,0ƒ,MRGCOOL2
03-11-2022,18:59,17,joppiesaus_nl,Sint Eustatius,25.880ƒ,24.230ƒ,150ƒ,"CertifiedSaraa, caccolino2018, joppiesaus_nl"
03-11-2022,21:47,18,jormguh,Sint Eustatius,0ƒ,0ƒ,0ƒ,"jormguh, MarketingGoose, SupremeBigBrother"
04-11-2022,11:45,19,jormguh,Sint Eustatius,26.453ƒ,24.653ƒ,0ƒ,"jormguh, MRGCOOL2, ukraine_forLive"
04-11-2022,14:01,20,jormguh,Sint Eustatius,27.930ƒ,26.130ƒ,0ƒ,"minebab, ukraine_forLive"
04-11-2022,16:01,21,Thunder_Sanctus,Sint Eustatius,0ƒ,0ƒ,1.800ƒ,"Thunder_Sanctus, 2cu1eforu"
04-11-2022,17:37,22,Thunder_Sanctus,Sint Eustatius,7.030ƒ,6.580ƒ,0ƒ,PercyHallucination
04-11-2022,19:37,23,Thunder_Sanctus,Sint Eustatius,4.154ƒ,3.704ƒ,0ƒ,StrayzoDev
04-11-2022,20:04,24,joppiesaus_nl,Sint Eustatius,6.445ƒ,5.995ƒ,0ƒ,CertifiedBellaaaa
04-11-2022,21:50,25,joppiesaus_nl,Sint Eustatius,8.264ƒ,8.264ƒ,0ƒ,"CertifiedSaraa, CertifiedNyxao, loulo383"
04-11-2022,22:57,26,Thunder_Sanctus,Sint Eustatius,6.465ƒ,6.015ƒ,0ƒ,Lord_Sicment
05-11-2022,02:35,27,MarketingGoose,Sint Eustatius,10.131ƒ,9.381ƒ,150ƒ,"MarketingGoose, Doy_Harthur"
05-11-2022,15:21,28,jormguh,Sint Eustatius,5.340ƒ,4.890ƒ,0ƒ,Nick2709
05-11-2022,22:44,29,Thunder_Sanctus,Sint Eustatius,6.964ƒ,6.514ƒ,0ƒ,joe_whit
05-11-2022,23:34,30,TheLonelyCanuck,Sint Eustatius,1.830ƒ,1.680ƒ,0ƒ,JazzyEpicdoge
06-11-2022,11:46,31,joppiesaus_nl,Sint Eustatius,22.938ƒ,21.138ƒ,0ƒ,"CertifiedBellaaaa, joppiesaus_nl"
06-11-2022,12:27,32,Thunder_Sanctus,Sint Eustatius,6.249ƒ,5.799ƒ,0ƒ,asiicitive
06-11-2022,13:34,33,Thunder_Sanctus,Saba,4.384ƒ,3.934ƒ,0ƒ,ArmyGamer100
06-11-2022,16:41,34,Thunder_Sanctus,Sint Eustatius,7.990ƒ,7.540ƒ,0ƒ,BlueStarKnight
06-11-2022,17:21,35,Capprilex,Saba,3.784ƒ,3.334ƒ,0ƒ,ComplexCrimes
06-11-2022,21:56,36,MarketingGoose,Sint Eustatius,13.801ƒ,12.901ƒ,0ƒ,"Uinsink, piper221"
08-11-2022,22:05,37,Thunder_Sanctus,Sint Eustatius,5.045ƒ,4.595ƒ,0ƒ,Quebec404
09-11-2022,01:33,38,TheLonelyCanuck,Sint Eustatius,24.229ƒ,22.729ƒ,0ƒ,"TheLonelyCanuck, Trahvski, austinwrighthd, Uinsink"
09-11-2022,14:15,39,jormguh,Sint Eustatius,4.496ƒ,4.196ƒ,0ƒ,Kingme2244
09-11-2022,16:43,40,jormguh,Sint Eustatius,29.865ƒ,28.065ƒ,0ƒ,"jormguh, Kingme2244"
11-11-2022,21:58,41,Thunder_Sanctus,Sint Eustatius,0ƒ,0ƒ,1.800ƒ,"Thunder_Sanctus, BlueStarKnight, CertifiedBellaaaa"
12-11-2022,13:09,42,Thunder_Sanctus,Sint Eustatius,8.198ƒ,7.748ƒ,0ƒ,IndonesianSpecialist
12-11-2022,14:41,43,Thunder_Sanctus,Sint Eustatius,6.578ƒ,6.128ƒ,0ƒ,lucaman10
19-11-2022,05:10,44,Capprilex,Sint Eustatius,7.296ƒ,6.846ƒ,0ƒ,sibfarmus
21-11-2022,03:37,45,TheLonelyCanuck,Sint Eustatius,24.473ƒ,22.673ƒ,0ƒ,"TheLonelyCanuck, Uinsink"
02-12-2022,14:57,46,jormguh,Sint Eustatius,22.483ƒ,20.683ƒ,0ƒ,"jormguh, Kingme2244"
08-12-2022,18:51,47,TheLonelyCanuck,Sint Eustatius,23.405ƒ,21.605ƒ,0ƒ,"TheLonelyCanuck, BlueStarKnight"
11-12-2022,20:52,48,Uinsink,Saba,0ƒ,0ƒ,1.800ƒ,"Vleugels, BlueStarKnight, Uinsink"
15-12-2022,18:54,49,jormguh,Saba,19.602ƒ,17.802ƒ,0ƒ,"Thunder_Sanctus, jormguh"
16-12-2022,16:25,50,jormguh,Sint Eustatius,19.670ƒ,18.170ƒ,150ƒ,"SegaSoog, Krysler14"
16-12-2022,17:58,51,jormguh,Sint Eustatius,24.831ƒ,23.181ƒ,0ƒ,"Krysler14, SegaSoog"
16-12-2022,20:15,52,Thunder_Sanctus,Sint Eustatius,23.233ƒ,21.433ƒ,0ƒ,"Thunder_Sanctus, CertifiedBellaaaa"
19-12-2022,14:40,53,Thunder_Sanctus,Sint Eustatius,26.240ƒ,24.590ƒ,0ƒ,"Thunder_Sanctus, BlueStarKnight"
10-01-2023,00:26,54,TheLonelyCanuck,Sint Eustatius,25.410ƒ,23.610ƒ,0ƒ,"TheLonelyCanuck, loulo383"
30-01-2023,20:37,55,joppiesaus_nl,Sint Eustatius,21.356ƒ,20.006ƒ,0ƒ,"joppiesaus_nl, FramesStatixx"
04-02-2023,21:53,56,joppiesaus_nl,Sint Eustatius,0ƒ,0ƒ,1.800ƒ,"joppiesaus_nl, piper221"
