Date,Voyage ID,To,Revenue,Salary,Catch
01-11-2022,1,Jorbunga,10.098ƒ,10.098ƒ,"18 Pistol Shrimp at 1,25x, 11 Giant Hermit Crab at 1,25x, 14 Pistol Shrimp at 1,25x, 15 American Lobster at 1,25x, 13 Pistol Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x."
01-11-2022,1,kni0002,9.722ƒ,9.722ƒ,"17 Pistol Shrimp at 1,25x, 18 Pistol Shrimp at 1,25x, 11 Common Blue Crab at 1,25x, 15 Mantis Shrimp at 1,25x, 15 American Lobster at 1,25x, 9 Giant Hermit Crab at 1,25x."
02-11-2022,2,ukraine_forLive,5.252ƒ,5.252ƒ,"14 Mantis Shrimp at 1x, 15 Mantis Shrimp at 1x, 13 Pistol Shrimp at 1x."
02-11-2022,4,wisleh,5.770ƒ,5.770ƒ,"10 Common Blue Crab at 1,25x, 18 Mantis Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x."
02-11-2022,3,joppiesaus_nl,9.596ƒ,9.596ƒ,"17 Pistol Shrimp at 1,25x, 13 Mantis Shrimp at 1,25x, 11 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x, 14 Mantis Shrimp at 1,25x, 12 Common Blue Crab at 1,25x."
02-11-2022,3,ukraine_forLive,11.301ƒ,11.301ƒ,"13 Pistol Shrimp at 1,25x, 14 Mantis Shrimp at 1,25x, 12 Common Blue Crab at 1,25x, 11 Giant Hermit Crab at 1,25x, 10 American Lobster at 1,25x, 18 Mantis Shrimp at 1,25x."
02-11-2022,5,ikbenhetsmientie,4.962ƒ,4.962ƒ,"13 Mantis Shrimp at 1,25x, 18 Pistol Shrimp at 1,25x, 10 Common Blue Crab at 1,25x."
02-11-2022,6,omglologamer,6.150ƒ,6.150ƒ,"10 Giant Hermit Crab at 1,25x, 9 Giant Hermit Crab at 1,25x, 11 Giant Hermit Crab at 1,25x."
02-11-2022,7,DarkFader100,5.586ƒ,5.586ƒ,"18 Pistol Shrimp at 1,25x, 15 Pistol Shrimp at 1,25x, 16 Pistol Shrimp at 1,25x."
02-11-2022,8,caccolino2018,5.062ƒ,5.062ƒ,"11 Common Blue Crab at 1,25x, 16 Mantis Shrimp at 1,25x, 8 Giant Hermit Crab at 1,25x."
02-11-2022,9,austinwrighthd,4.264ƒ,4.264ƒ,"16 Pistol Shrimp at 1,25x, 8 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x."
02-11-2022,10,brammieboy1612,4.902ƒ,4.902ƒ,"15 Pistol Shrimp at 1,25x, 16 Pistol Shrimp at 1,25x, 12 Pistol Shrimp at 1,25x."
02-11-2022,12,CertifiedSaraa,4.713ƒ,4.713ƒ,"13 Pistol Shrimp at 1,25x, 8 Common Blue Crab at 1,25x, 11 Giant Hermit Crab at 1,25x."
02-11-2022,11,pilotMikhaelB,4.748ƒ,4.748ƒ,"14 Mantis Shrimp at 1,25x, 12 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x."
02-11-2022,13,Uinsink,11.422ƒ,11.422ƒ,"15 Pistol Shrimp at 1,25x, 18 Pistol Shrimp at 1,25x, 11 American Lobster at 1,25x, 8 Common Blue Crab at 1,25x, 18 Mantis Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x."
02-11-2022,13,Thunder_Sanctus,11.938ƒ,11.938ƒ,"11 Common Blue Crab at 1,25x, 16 Pistol Shrimp at 1,25x, 12 Giant Hermit Crab at 1,25x, 15 American Lobster at 1,25x, 12 Common Blue Crab at 1,25x, 17 Pistol Shrimp at 1,25x."
03-11-2022,14,Thunder_Sanctus,9.975ƒ,9.975ƒ,"10 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 15 Pistol Shrimp at 1,25x, 9 Giant Hermit Crab at 1,25x, 18 Pistol Shrimp at 1,25x, 10 Giant Hermit Crab at 1,25x."
03-11-2022,14,just_hein1203,10.868ƒ,10.868ƒ,"17 Pistol Shrimp at 1,25x, 10 Common Blue Crab at 1,25x, 11 American Lobster at 1,25x, 8 Giant Hermit Crab at 1,25x, 18 Mantis Shrimp at 1,25x, 14 Pistol Shrimp at 1,25x."
03-11-2022,15,SupremeBigBrother,1.220ƒ,1.220ƒ,"10 Common Blue Crab at 1,25x."
03-11-2022,15,piper221,3.534ƒ,3.534ƒ,"18 Pistol Shrimp at 1,25x, 13 Pistol Shrimp at 1,25x."
03-11-2022,16,MRGCOOL2,6.179ƒ,5.156ƒ,"12 Common Blue Crab at 1x, 11 Giant Hermit Crab at 1x, 12 Giant Hermit Crab at 1x."
03-11-2022,17,CertifiedSaraa,8.693ƒ,7.283ƒ,"12 Common Blue Crab at 1,25x, 18 Pistol Shrimp at 1,25x, 9 Common Blue Crab at 1,25x, 18 Mantis Shrimp at 1,25x."
03-11-2022,17,caccolino2018,7.739ƒ,6.560ƒ,"11 Giant Hermit Crab at 1,25x, 18 Mantis Shrimp at 1,25x, 14 Pistol Shrimp at 1,25x."
03-11-2022,17,joppiesaus_nl,9.449ƒ,7.964ƒ,"14 American Lobster at 1,25x, 11 Giant Hermit Crab at 1,25x, 10 Common Blue Crab at 1,25x, 12 Pistol Shrimp at 1,25x."
04-11-2022,19,Jorbunga,10.228ƒ,8.665ƒ,"18 Mantis Shrimp at 1,25x, 15 Pistol Shrimp at 1,25x, 18 Pistol Shrimp at 1,25x, 16 Mantis Shrimp at 1,25x."
04-11-2022,19,MRGCOOL2,8.888ƒ,7.459ƒ,"15 Pistol Shrimp at 1,25x, 14 American Lobster at 1,25x, 12 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x."
04-11-2022,19,ukraine_forLive,7.338ƒ,6.064ƒ,"8 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x, 17 Mantis Shrimp at 1,25x, 11 Common Blue Crab at 1,25x."
04-11-2022,20,minebab,12.945ƒ,10.841ƒ,"9 Common Blue Crab at 1,25x, 8 Giant Hermit Crab at 1,25x, 14 American Lobster at 1,25x, 10 Common Blue Crab at 1,25x, 18 Mantis Shrimp at 1,25x, 11 Common Blue Crab at 1,25x."
04-11-2022,20,ukraine_forLive,14.985ƒ,12.677ƒ,"13 Mantis Shrimp at 1,25x, 17 Pistol Shrimp at 1,25x, 11 Giant Hermit Crab at 1,25x, 8 Giant Hermit Crab at 1,25x, 17 Mantis Shrimp at 1,25x, 11 Giant Hermit Crab at 1,25x."
04-11-2022,22,PercyHallucination,7.030ƒ,5.922ƒ,"14 Mantis Shrimp at 1,25x, 12 Common Blue Crab at 1,25x, 18 Mantis Shrimp at 1,25x."
04-11-2022,23,StrayzoDev,4.154ƒ,3.334ƒ,"9 Common Blue Crab at 1x, 16 Mantis Shrimp at 1x, 8 Common Blue Crab at 1x."
04-11-2022,24,CertifiedBellaaaa,6.445ƒ,5.396ƒ,"17 Mantis Shrimp at 1,25x, 12 Common Blue Crab at 1,25x, 13 Pistol Shrimp at 1,25x."
04-11-2022,25,CertifiedSaraa,3.395ƒ,2.921ƒ,"14 American Lobster at 1,25x."
04-11-2022,25,CertifiedNyxao,2.819ƒ,2.402ƒ,"11 Giant Hermit Crab at 1,25x."
04-11-2022,25,loulo383,2.050ƒ,1.710ƒ,"8 Giant Hermit Crab at 1,25x."
04-11-2022,26,Lord_Sicment,6.465ƒ,5.414ƒ,"12 Common Blue Crab at 1,25x, 18 Mantis Shrimp at 1,25x, 12 Pistol Shrimp at 1,25x."
05-11-2022,27,MarketingGoose,6.929ƒ,5.831ƒ,"16 Pistol Shrimp at 1,25x, 12 Common Blue Crab at 1,25x, 11 Giant Hermit Crab at 1,25x."
05-11-2022,27,Doy_Harthur,3.203ƒ,2.612ƒ,"12 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x."
05-11-2022,28,Nick2709,5.340ƒ,4.401ƒ,"11 Common Blue Crab at 1,25x, 15 Pistol Shrimp at 1,25x, 10 Common Blue Crab at 1,25x."
05-11-2022,29,joe_whit,6.964ƒ,5.862ƒ,"11 Giant Hermit Crab at 1,25x, 18 Mantis Shrimp at 1,25x, 8 Common Blue Crab at 1,25x."
05-11-2022,30,JazzyEpicdoge,1.830ƒ,1.512ƒ,"12 Common Blue Crab at 1,25x."
06-11-2022,32,asiicitive,6.249ƒ,5.219ƒ,"13 Mantis Shrimp at 1,25x, 12 Common Blue Crab at 1,25x, 9 Giant Hermit Crab at 1,25x."
06-11-2022,31,CertifiedBellaaaa,11.548ƒ,9.583ƒ,"12 Common Blue Crab at 1,25x, 14 Pistol Shrimp at 1,25x, 10 Common Blue Crab at 1,25x, 12 Pistol Shrimp at 1,25x, 15 Mantis Shrimp at 1,25x, 8 Giant Hermit Crab at 1,25x."
06-11-2022,31,joppiesaus_nl,11.390ƒ,9.441ƒ,"13 Pistol Shrimp at 1,25x, 8 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x, 16 Mantis Shrimp at 1,25x, 8 Common Blue Crab at 1,25x, 11 American Lobster at 1,25x."
06-11-2022,33,ArmyGamer100,4.384ƒ,3.541ƒ,"13 Mantis Shrimp at 1x, 14 Pistol Shrimp at 1x, 9 Common Blue Crab at 1x."
06-11-2022,34,BlueStarKnight,7.990ƒ,6.786ƒ,"14 Mantis Shrimp at 1,25x, 10 Giant Hermit Crab at 1,25x, 13 American Lobster at 1,25x."
06-11-2022,35,ComplexCrimes,3.784ƒ,3.001ƒ,"9 Common Blue Crab at 1x, 15 Pistol Shrimp at 1x, 8 Common Blue Crab at 1x."
06-11-2022,36,Uinsink,6.908ƒ,5.812ƒ,"17 Mantis Shrimp at 1,25x, 8 Common Blue Crab at 1,25x, 18 Mantis Shrimp at 1,25x."
06-11-2022,36,piper221,6.894ƒ,5.799ƒ,"12 American Lobster at 1,25x, 11 Common Blue Crab at 1,25x, 9 Giant Hermit Crab at 1,25x."
08-11-2022,37,Quebec404,5.045ƒ,4.136ƒ,"9 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x, 14 Pistol Shrimp at 1,25x."
09-11-2022,38,TheLonelyCanuck,7.040ƒ,5.931ƒ,"16 Mantis Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x, 11 Common Blue Crab at 1,25x."
09-11-2022,38,Trahvski,8.669ƒ,7.397ƒ,"18 Mantis Shrimp at 1,25x, 18 Mantis Shrimp at 1,25x, 11 Giant Hermit Crab at 1,25x."
09-11-2022,38,austinwrighthd,1.220ƒ,963ƒ,"8 Common Blue Crab at 1,25x."
09-11-2022,38,Uinsink,7.300ƒ,6.165ƒ,"15 Mantis Shrimp at 1,25x, 10 American Lobster at 1,25x, 15 Mantis Shrimp at 1,25x."
09-11-2022,39,Kingme2244,4.496ƒ,3.777ƒ,"11 Common Blue Crab at 1,25x, 11 Giant Hermit Crab at 1,25x."
09-11-2022,40,Jorbunga,13.544ƒ,11.379ƒ,"10 Common Blue Crab at 1,25x, 15 Pistol Shrimp at 1,25x, 12 Common Blue Crab at 1,25x, 18 Pistol Shrimp at 1,25x, 11 American Lobster at 1,25x, 11 Giant Hermit Crab at 1,25x."
09-11-2022,40,Kingme2244,16.321ƒ,13.879ƒ,"12 Giant Hermit Crab at 1,25x, 12 Common Blue Crab at 1,25x, 12 American Lobster at 1,25x, 11 Giant Hermit Crab at 1,25x, 18 Mantis Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x."
12-11-2022,42,IndonesianSpecialist,8.198ƒ,6.973ƒ,"14 Pistol Shrimp at 1,25x, 18 Pistol Shrimp at 1,25x, 15 American Lobster at 1,25x."
12-11-2022,43,lucaman10,6.578ƒ,5.515ƒ,"9 Common Blue Crab at 1,25x, 18 Mantis Shrimp at 1,25x, 16 Pistol Shrimp at 1,25x."
19-11-2022,44,sibfarmus,7.296ƒ,6.162ƒ,"18 Pistol Shrimp at 1,25x, 10 American Lobster at 1,25x, 9 Giant Hermit Crab at 1,25x."
21-11-2022,45,TheLonelyCanuck,13.020ƒ,10.908ƒ,"14 American Lobster at 1,25x, 14 Pistol Shrimp at 1,25x, 8 Common Blue Crab at 1,25x, 15 Pistol Shrimp at 1,25x, 10 Giant Hermit Crab at 1,25x, 12 Pistol Shrimp at 1,25x."
21-11-2022,45,Uinsink,11.453ƒ,9.497ƒ,"12 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x, 8 Common Blue Crab at 1,25x, 15 Pistol Shrimp at 1,25x, 12 American Lobster at 1,25x, 10 Common Blue Crab at 1,25x."
02-12-2022,46,Jorbunga,6.881ƒ,5.653ƒ,"11 Common Blue Crab at 1,25x, 9 Giant Hermit Crab at 1,25x, 11 Common Blue Crab at 1,25x, 8 Common Blue Crab at 1,25x."
02-12-2022,46,Kingme2244,15.601ƒ,12.961ƒ,"10 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x, 11 Giant Hermit Crab at 1,25x, 12 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x, 15 Pistol Shrimp at 1,25x, 10 Giant Hermit Crab at 1,25x."
08-12-2022,47,TheLonelyCanuck,12.263ƒ,10.226ƒ,"11 Common Blue Crab at 1,25x, 12 Mantis Shrimp at 1,25x, 12 Pistol Shrimp at 1,25x, 11 Common Blue Crab at 1,25x, 14 American Lobster at 1,25x, 13 Pistol Shrimp at 1,25x."
08-12-2022,47,BlueStarKnight,11.143ƒ,9.218ƒ,"10 Common Blue Crab at 1,25x, 15 American Lobster at 1,25x, 10 Common Blue Crab at 1,25x, 10 Common Blue Crab at 1,25x, 12 Pistol Shrimp at 1,25x, 8 Common Blue Crab at 1,25x."
15-12-2022,49,Thunder_Sanctus,10.178ƒ,8.350ƒ,"9 Giant Hermit Crab at 1x, 12 Common Blue Crab at 1x, 18 Pistol Shrimp at 1x, 11 Common Blue Crab at 1x, 10 Common Blue Crab at 1x, 11 Giant Hermit Crab at 1x."
15-12-2022,49,Jorbunga,9.424ƒ,7.672ƒ,"12 Common Blue Crab at 1x, 12 Common Blue Crab at 1x, 15 Pistol Shrimp at 1x, 13 Pistol Shrimp at 1x, 12 American Lobster at 1x, 8 Common Blue Crab at 1x."
16-12-2022,50,SegaSoog,8.073ƒ,6.725ƒ,"17 Mantis Shrimp at 1,25x, 18 Pistol Shrimp at 1,25x, 9 Common Blue Crab at 1,25x, 9 Common Blue Crab at 1,25x."
16-12-2022,50,Krysler14,11.598ƒ,9.628ƒ,"8 Common Blue Crab at 1,25x, 16 Mantis Shrimp at 1,25x, 15 Mantis Shrimp at 1,25x, 12 Common Blue Crab at 1,25x, 15 Pistol Shrimp at 1,25x, 9 Common Blue Crab at 1,25x."
16-12-2022,51,Krysler14,14.156ƒ,11.931ƒ,"18 Pistol Shrimp at 1,25x, 12 Common Blue Crab at 1,25x, 13 Mantis Shrimp at 1,25x, 11 Common Blue Crab at 1,25x, 13 American Lobster at 1,25x, 11 Giant Hermit Crab at 1,25x."
16-12-2022,51,SegaSoog,10.675ƒ,8.933ƒ,"13 Pistol Shrimp at 1,25x, 10 Common Blue Crab at 1,25x, 15 American Lobster at 1,25x, 12 Mantis Shrimp at 1,25x, 12 Pistol Shrimp at 1,25x."
16-12-2022,52,Thunder_Sanctus,12.380ƒ,10.332ƒ,"9 Common Blue Crab at 1,25x, 8 Giant Hermit Crab at 1,25x, 9 Common Blue Crab at 1,25x, 17 Pistol Shrimp at 1,25x, 16 Mantis Shrimp at 1,25x, 10 Giant Hermit Crab at 1,25x."
