Date,Voyage ID,Type,From,To,Amount,Notes,Solved by
01-11-2022,1,Profit cut,Jorbunga,Codswallop,2.298ƒ,,jormguh
02-11-2022,2,Profit cut,joppiesaus_nl,Codswallop,480ƒ,,jormguh
02-11-2022,4,Profit cut,Thunder_Sanctus,Codswallop,676ƒ,,jormguh
02-11-2022,5,Profit cut,Thunder_Sanctus,Codswallop,575ƒ,,jormguh
02-11-2022,6,Profit cut,Thunder_Sanctus,Codswallop,724ƒ,,jormguh
02-11-2022,8,Profit cut,Thunder_Sanctus,Codswallop,588ƒ,,jormguh
02-11-2022,11,Profit cut,Capprilex,Codswallop,549ƒ,,jormguh
03-11-2022,15,Profit cut,SupremeBigBrother,Codswallop,549ƒ,,SupremeBigBrother
03-11-2022,16,Profit cut,Capprilex,Codswallop,573ƒ,,jormguh
02-11-2022,3,Profit cut,joppiesaus_nl,Codswallop,2.432ƒ,"---Crewmate had to go before paying, later paid Jorbunga separately. Deduct 1323 from cut when solving.",jormguh
02-11-2022,7,Profit cut,joppiesaus_nl,Codswallop,653ƒ,,jormguh
02-11-2022,9,Profit cut,joppiesaus_nl,Codswallop,488ƒ,,jormguh
02-11-2022,10,Profit cut,joppiesaus_nl,Codswallop,568ƒ,,jormguh
02-11-2022,12,Profit cut,joppiesaus_nl,Codswallop,544ƒ,,jormguh
02-11-2022,13,Profit cut,Thunder_Sanctus,Codswallop,2.740ƒ,,jormguh
03-11-2022,14,Profit cut,Thunder_Sanctus,Codswallop,2.425ƒ,,jormguh
03-11-2022,18,Profit cut,Jorbunga,Codswallop,0ƒ,,jormguh
04-11-2022,19,Profit cut,Jorbunga,Codswallop,2.465ƒ,,jormguh
04-11-2022,20,Profit cut,Jorbunga,Codswallop,2.613ƒ,,jormguh
03-11-2022,17,Reimbursement,Codswallop,caccolino2018,150ƒ,Piracy,jormguh
05-11-2022,27,Profit cut,MarketingGoose,Codswallop,938ƒ,,MarketingGoose
05-11-2022,28,Profit cut,Jorbunga,Codswallop,489ƒ,,jormguh
05-11-2022,27,Reimbursement,Codswallop,Doy_Harthur,150ƒ,Told a Navy dude to delete his one tote.,jormguh
06-11-2022,36,Profit cut,MarketingGoose,Codswallop,1.290ƒ,,MarketingGoose
09-11-2022,39,Profit cut,Jorbunga,Codswallop,420ƒ,,jormguh
09-11-2022,40,Profit cut,Jorbunga,Codswallop,2.807ƒ,,jormguh
