Date,Voyage ID,Type,From,To,Amount,Notes
07-02-2026,1485,Reimbursement,Codswallop,lacednopy,300ƒ,Piracy attack
08-02-2026,1487,Profit cut,Ghovxst,Codswallop,1.866ƒ,
09-02-2026,1452,Reimbursement,Codswallop,jupetchu,900ƒ,piracy
09-02-2026,1505,Reimbursement,Codswallop,Jimmy32k,150ƒ,Piracy attack during end of training
09-02-2026,1505,Reimbursement,Codswallop,iromen191,150ƒ,Piracy attack during end of training
09-02-2026,1506,Reimbursement,Codswallop,Psyonix_x,150ƒ,Piracy
09-02-2026,1505,Reimbursement,Codswallop,torixsl,150ƒ,Lost???
10-02-2026,1509,Reimbursement,Codswallop,CoffeeOrDeath,300ƒ,my internet died
10-02-2026,1512,Reimbursement,Codswallop,lacednopy,750ƒ,Piracy
11-02-2026,1524,Reimbursement,Codswallop,Dellz3,600ƒ,Rogue F16 shot down the ship on return
12-02-2026,1531,Profit cut,simonmutsaers,Codswallop,3.071ƒ,
12-02-2026,1532,Profit cut,simonmutsaers,Codswallop,2.165ƒ,
12-02-2026,1532,Reimbursement,Codswallop,Lenizz,150ƒ,Theft
13-02-2026,1535,Reimbursement,Codswallop,eprstbebra,900ƒ,rogue klu blew us up
13-02-2026,1535,Reimbursement,Codswallop,jupetchu,900ƒ,rogue klu blew us up
13-02-2026,1536,Profit cut,Salty_Mark,Codswallop,1.217ƒ,
13-02-2026,1541,Reimbursement,Codswallop,iromen191,600ƒ,Jetski hit our ship and had a Bomb
13-02-2026,1541,Reimbursement,Codswallop,Wealthy890,600ƒ,Jetski hit our ship and had a Bomb
14-02-2026,1549,Reimbursement,Codswallop,SilencedAnt,450ƒ,theft
14-02-2026,1558,Reimbursement,Codswallop,BagyRagy,1.350ƒ,STUPID FUCKING BUGGY GAME AND INTERNET DIED
14-02-2026,1559,Reimbursement,Codswallop,eprstbebra,900ƒ,piraca
14-02-2026,1559,Reimbursement,Codswallop,jupetchu,900ƒ,piraca
14-02-2026,1564,Reimbursement,Codswallop,peterrdefries12,150ƒ,Theft
15-02-2026,1571,Reimbursement,Codswallop,Ghovxst,900ƒ,Piracy
15-02-2026,1574,Reimbursement,Codswallop,SilencedAnt,900ƒ,Server crash
15-02-2026,1576,Profit cut,eprstbebra,Codswallop,2.723ƒ,
15-02-2026,1576,Reimbursement,Codswallop,eprstbebra,300ƒ,theft
15-02-2026,1576,Reimbursement,Codswallop,orangesainsburys,300ƒ,theft
14-02-2026,1566,Reimbursement,Codswallop,TimIsNub,150ƒ,P
14-02-2026,1566,Reimbursement,Codswallop,iliasiliasiliasbah,450ƒ,p
14-02-2026,1566,Reimbursement,Codswallop,SilencedAnt,450ƒ,p
14-02-2026,1566,Reimbursement,Codswallop,TheManLikeMan,150ƒ,p
15-02-2026,1580,Profit cut,eprstbebra,Codswallop,3.409ƒ,
15-02-2026,1581,Profit cut,eprstbebra,Codswallop,3.466ƒ,
15-02-2026,1583,Profit cut,eprstbebra,Codswallop,3.004ƒ,
15-02-2026,1587,Profit cut,Finmikke1,Codswallop,2.371ƒ,
16-02-2026,1597,Reimbursement,Codswallop,SilencedAnt,600ƒ,Piracy
16-02-2026,1598,Reimbursement,Codswallop,eprstbebra,600ƒ,piracy
16-02-2026,1598,Reimbursement,Codswallop,SilencedAnt,600ƒ,piracy
16-02-2026,1599,Profit cut,cf234563,Codswallop,2.171ƒ,
16-02-2026,1602,Reimbursement,Codswallop,ninjapower0102,450ƒ,Piracy
16-02-2026,1603,Profit cut,cf234563,Codswallop,2.847ƒ,
17-02-2026,1611,Reimbursement,Codswallop,Finmikke1,900ƒ,Potting system bugged somehow
17-02-2026,1613,Reimbursement,Codswallop,ikbenhetsmientie,450ƒ,Server bugged
18-02-2026,1614,Profit cut,eprstbebra,Codswallop,0ƒ,
18-02-2026,1614,Reimbursement,Codswallop,jupetchu,900ƒ,pirat 
18-02-2026,1614,Reimbursement,Codswallop,eprstbebra,900ƒ,pirat 
18-02-2026,1616,Reimbursement,Codswallop,thecoolguyisco,900ƒ,we got boarded by pirate
18-02-2026,1616,Reimbursement,Codswallop,Dyetje,900ƒ,we got boarded by pirate
20-02-2026,1625,Profit cut,Finmikke1,Codswallop,0ƒ,
20-02-2026,1625,Reimbursement,Codswallop,Finmikke1,600ƒ,Got bombed
20-02-2026,1625,Reimbursement,Codswallop,d_eadend38,600ƒ,Got bombed
20-02-2026,1625,Reimbursement,Codswallop,Waltoorg,600ƒ,Got bombed
20-02-2026,1626,Profit cut,Finmikke1,Codswallop,0ƒ,
20-02-2026,1626,Reimbursement,Codswallop,Finmikke1,600ƒ,Pirates killed all of us
20-02-2026,1626,Reimbursement,Codswallop,Waltoorg,600ƒ,Pirates killed all of us
20-02-2026,1626,Reimbursement,Codswallop,d_eadend38,600ƒ,Pirates killed all of us
20-02-2026,1627,Profit cut,Finmikke1,Codswallop,2.496ƒ,
21-02-2026,1629,Reimbursement,Codswallop,Kravkens,600ƒ,piracy
