source_row,record_date,voyage_id,entry_type,from_username,to_username,amount_florins,notes,solved_by_username,status
2,2022-11-01,1,Profit cut,Jorbunga,Codswallop,2298,,jormguh,SOLVED
3,2022-11-02,2,Profit cut,joppiesaus_nl,Codswallop,480,,jormguh,SOLVED
4,2022-11-02,4,Profit cut,Thunder_Sanctus,Codswallop,676,,jormguh,SOLVED
5,2022-11-02,5,Profit cut,Thunder_Sanctus,Codswallop,575,,jormguh,SOLVED
6,2022-11-02,6,Profit cut,Thunder_Sanctus,Codswallop,724,,jormguh,SOLVED
7,2022-11-02,8,Profit cut,Thunder_Sanctus,Codswallop,588,,jormguh,SOLVED
8,2022-11-02,11,Profit cut,Capprilex,Codswallop,549,,jormguh,SOLVED
9,2022-11-03,15,Profit cut,SupremeBigBrother,Codswallop,549,,SupremeBigBrother,SOLVED
10,2022-11-03,16,Profit cut,Capprilex,Codswallop,573,,jormguh,SOLVED
11,2022-11-02,3,Profit cut,joppiesaus_nl,Codswallop,2432,"---Crewmate had to go before paying, later paid Jorbunga separately. Deduct 1323 from cut when solving.",jormguh,SOLVED
12,2022-11-02,7,Profit cut,joppiesaus_nl,Codswallop,653,,jormguh,SOLVED
13,2022-11-02,9,Profit cut,joppiesaus_nl,Codswallop,488,,jormguh,SOLVED
14,2022-11-02,10,Profit cut,joppiesaus_nl,Codswallop,568,,jormguh,SOLVED
15,2022-11-02,12,Profit cut,joppiesaus_nl,Codswallop,544,,jormguh,SOLVED
16,2022-11-02,13,Profit cut,Thunder_Sanctus,Codswallop,2740,,jormguh,SOLVED
17,2022-11-03,14,Profit cut,Thunder_Sanctus,Codswallop,2425,,jormguh,SOLVED
18,2022-11-03,18,Profit cut,Jorbunga,Codswallop,0,,jormguh,SOLVED
19,2022-11-04,19,Profit cut,Jorbunga,Codswallop,2465,,jormguh,SOLVED
20,2022-11-04,20,Profit cut,Jorbunga,Codswallop,2613,,jormguh,SOLVED
21,2022-11-03,17,Reimbursement,Codswallop,caccolino2018,150,Piracy,jormguh,SOLVED
22,2022-11-05,27,Profit cut,MarketingGoose,Codswallop,938,,MarketingGoose,SOLVED
23,2022-11-05,28,Profit cut,Jorbunga,Codswallop,489,,jormguh,SOLVED
24,2022-11-05,27,Reimbursement,Codswallop,Doy_Harthur,150,Told a Navy dude to delete his one tote.,jormguh,SOLVED
25,2022-11-06,36,Profit cut,MarketingGoose,Codswallop,1290,,MarketingGoose,SOLVED
