source_row,record_date,voyage_id,recipient_username,revenue_florins,salary_florins,catch_summary
2,2022-11-01,1,Jorbunga,10098,10098,"18 Pistol Shrimp at 1,25x, 11 Giant Hermit Crab at 1,25x, 14 Pistol Shrimp at 1,25x, 15 American Lobster at 1,25x, 13 Pistol Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x."
3,2022-11-01,1,kni0002,9722,9722,"17 Pistol Shrimp at 1,25x, 18 Pistol Shrimp at 1,25x, 11 Common Blue Crab at 1,25x, 15 Mantis Shrimp at 1,25x, 15 American Lobster at 1,25x, 9 Giant Hermit Crab at 1,25x."
4,2022-11-02,2,ukraine_forLive,5252,5252,"14 Mantis Shrimp at 1x, 15 Mantis Shrimp at 1x, 13 Pistol Shrimp at 1x."
5,2022-11-02,4,wisleh,5770,5770,"10 Common Blue Crab at 1,25x, 18 Mantis Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x."
6,2022-11-02,3,joppiesaus_nl,9596,9596,"17 Pistol Shrimp at 1,25x, 13 Mantis Shrimp at 1,25x, 11 Common Blue Crab at 1,25x, 11 Common Blue Crab at 1,25x, 14 Mantis Shrimp at 1,25x, 12 Common Blue Crab at 1,25x."
7,2022-11-02,3,ukraine_forLive,11301,11301,"13 Pistol Shrimp at 1,25x, 14 Mantis Shrimp at 1,25x, 12 Common Blue Crab at 1,25x, 11 Giant Hermit Crab at 1,25x, 10 American Lobster at 1,25x, 18 Mantis Shrimp at 1,25x."
8,2022-11-02,5,ikbenhetsmientie,4962,4962,"13 Mantis Shrimp at 1,25x, 18 Pistol Shrimp at 1,25x, 10 Common Blue Crab at 1,25x."
9,2022-11-02,6,omglologamer,6150,6150,"10 Giant Hermit Crab at 1,25x, 9 Giant Hermit Crab at 1,25x, 11 Giant Hermit Crab at 1,25x."
10,2022-11-02,7,DarkFader100,5586,5586,"18 Pistol Shrimp at 1,25x, 15 Pistol Shrimp at 1,25x, 16 Pistol Shrimp at 1,25x."
11,2022-11-02,8,caccolino2018,5062,5062,"11 Common Blue Crab at 1,25x, 16 Mantis Shrimp at 1,25x, 8 Giant Hermit Crab at 1,25x."
12,2022-11-02,9,austinwrighthd,4264,4264,"16 Pistol Shrimp at 1,25x, 8 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x."
13,2022-11-02,10,brammieboy1612,4902,4902,"15 Pistol Shrimp at 1,25x, 16 Pistol Shrimp at 1,25x, 12 Pistol Shrimp at 1,25x."
14,2022-11-02,12,CertifiedSaraa,4713,4713,"13 Pistol Shrimp at 1,25x, 8 Common Blue Crab at 1,25x, 11 Giant Hermit Crab at 1,25x."
15,2022-11-02,11,pilotMikhaelB,4748,4748,"14 Mantis Shrimp at 1,25x, 12 Common Blue Crab at 1,25x, 12 Common Blue Crab at 1,25x."
16,2022-11-02,13,Uinsink,11422,11422,"15 Pistol Shrimp at 1,25x, 18 Pistol Shrimp at 1,25x, 11 American Lobster at 1,25x, 8 Common Blue Crab at 1,25x, 18 Mantis Shrimp at 1,25x, 17 Mantis Shrimp at 1,25x."
